time,data,src
34594337875.45322,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=19|eta=15,pHelmIvP:157:waypt_survey
34594337875.82818,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=18|eta=15,pHelmIvP:159:waypt_survey
34594337876.43136,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=18|eta=14,pHelmIvP:162:waypt_survey
34594337876.639,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=17|eta=14,pHelmIvP:163:waypt_survey
34594337877.65749,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=16|eta=13,pHelmIvP:168:waypt_survey
34594337878.23262,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=15|eta=13,pHelmIvP:171:waypt_survey
34594337878.6186,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=15|eta=12,pHelmIvP:173:waypt_survey
34594337879.03,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=14|eta=12,pHelmIvP:175:waypt_survey
34594337879.61604,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=14|eta=11,pHelmIvP:178:waypt_survey
34594337880.000015,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=13|eta=11,pHelmIvP:180:waypt_survey
34594337880.61541,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=13|eta=10,pHelmIvP:183:waypt_survey
34594337880.812256,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=12|eta=10,pHelmIvP:184:waypt_survey
34594337881.60814,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=11|eta=9,pHelmIvP:188:waypt_survey
34594337882.42592,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=10|eta=8,pHelmIvP:192:waypt_survey
34594337883.201294,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=9|eta=8,pHelmIvP:196:waypt_survey
34594337883.40194,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=9|eta=7,pHelmIvP:197:waypt_survey
34594337884.17844,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=8|eta=7,pHelmIvP:201:waypt_survey
34594337884.38466,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=8|eta=6,pHelmIvP:202:waypt_survey
34594337884.961685,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=7|eta=6,pHelmIvP:205:waypt_survey
34594337885.57845,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=6|eta=5,pHelmIvP:208:waypt_survey
34594337886.35492,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=5|eta=5,pHelmIvP:212:waypt_survey
34594337886.527794,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=5|eta=4,pHelmIvP:213:waypt_survey
34594337887.345955,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=4|eta=4,pHelmIvP:217:waypt_survey
34594337887.7243,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=4|eta=3,pHelmIvP:219:waypt_survey
34594337888.13549,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=3|eta=3,pHelmIvP:221:waypt_survey
34594337888.74122,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=3|eta=2,pHelmIvP:224:waypt_survey
34594337889.33643,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=2|eta=2,pHelmIvP:227:waypt_survey
34594337889.54245,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=28|eta=23,pHelmIvP:228:waypt_survey
34594337889.74894,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=27|eta=23,pHelmIvP:229:waypt_survey
34594337890.36628,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=27|eta=24,pHelmIvP:232:waypt_survey
34594337890.572235,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=27|eta=25,pHelmIvP:233:waypt_survey
34594337890.9161,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=27|eta=27,pHelmIvP:235:waypt_survey
34594337891.25564,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=26|eta=28,pHelmIvP:237:waypt_survey
34594337891.85976,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=26|eta=27,pHelmIvP:240:waypt_survey
34594337892.221664,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=26|eta=26,pHelmIvP:242:waypt_survey
34594337892.426674,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=25|eta=25,pHelmIvP:243:waypt_survey
34594337892.83204,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=25|eta=24,pHelmIvP:245:waypt_survey
34594337893.225296,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=24|eta=24,pHelmIvP:247:waypt_survey
34594337893.59364,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=24|eta=23,pHelmIvP:249:waypt_survey
34594337893.76043,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=24|eta=22,pHelmIvP:250:waypt_survey
34594337894.60527,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=23|eta=22,pHelmIvP:254:waypt_survey
34594337894.79104,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=23|eta=21,pHelmIvP:255:waypt_survey
34594337895.16176,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=23|eta=20,pHelmIvP:257:waypt_survey
34594337895.36987,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=22|eta=20,pHelmIvP:258:waypt_survey
34594337895.545135,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=22|eta=19,pHelmIvP:259:waypt_survey
34594337896.33826,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=21|eta=18,pHelmIvP:263:waypt_survey
34594337896.948494,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=21|eta=17,pHelmIvP:266:waypt_survey
34594337897.31636,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=20|eta=17,pHelmIvP:268:waypt_survey
34594337897.518,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=20|eta=16,pHelmIvP:269:waypt_survey
34594337897.904785,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=19|eta=16,pHelmIvP:271:waypt_survey
34594337898.49099,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=19|eta=15,pHelmIvP:274:waypt_survey
34594337898.69804,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=18|eta=15,pHelmIvP:275:waypt_survey
34594337898.90493,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=18|eta=14,pHelmIvP:276:waypt_survey
34594337899.666855,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=17|eta=14,pHelmIvP:280:waypt_survey
34594337899.85719,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=17|eta=13,pHelmIvP:281:waypt_survey
34594337900.52968,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=16|eta=13,pHelmIvP:284:waypt_survey
34594337900.737564,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=16|eta=12,pHelmIvP:285:waypt_survey
34594337901.16526,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=15|eta=12,pHelmIvP:287:waypt_survey
34594337901.55318,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=15|eta=11,pHelmIvP:289:waypt_survey
34594337901.7586,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=14|eta=11,pHelmIvP:290:waypt_survey
34594337902.55788,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=13|eta=10,pHelmIvP:294:waypt_survey
34594337903.3606,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=12|eta=10,pHelmIvP:298:waypt_survey
34594337903.75195,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=12|eta=9,pHelmIvP:300:waypt_survey
34594337904.34192,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=11|eta=9,pHelmIvP:303:waypt_survey
34594337904.90543,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=11|eta=8,pHelmIvP:306:waypt_survey
34594337905.09714,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=10|eta=8,pHelmIvP:307:waypt_survey
34594337905.90076,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=9|eta=8,pHelmIvP:311:waypt_survey
34594337906.09248,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=9|eta=7,pHelmIvP:312:waypt_survey
34594337906.64352,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=8|eta=7,pHelmIvP:315:waypt_survey
34594337907.03428,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=8|eta=6,pHelmIvP:317:waypt_survey
34594337907.59726,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=7|eta=6,pHelmIvP:320:waypt_survey
34594337907.99382,vname=henry|behavior-name=waypt_survey|index=1|hits=1/1|cycles=0|dist=7|eta=5,pHelmIvP:322:waypt_survey
