time,NAME,X,Y,SPD,HDG,TYPE,MODE,ALLSTOP,TIME,LENGTH,src
34594337895.298294,henry,42.25,-37.69,1.12,90.24,kayak,MODE@ACTIVE:TRAVERSING,clear,81,34594337895.3,4,pNodeReporter
34594337895.609695,henry,42.81,-37.68,1.15,87.9,kayak,MODE@ACTIVE:TRAVERSING,clear,82,34594337895.61,4,pNodeReporter
34594337895.88831,henry,42.81,-37.68,1.15,87.9,kayak,MODE@ACTIVE:TRAVERSING,clear,83,34594337895.89,4,pNodeReporter
34594337896.48536,henry,43.63,-37.63,1.18,84.61,kayak,MODE@ACTIVE:TRAVERSING,clear,84,34594337896.48,4,pNodeReporter
34594337897.349686,henry,44.48,-37.52,1.2,81.76,kayak,MODE@ACTIVE:TRAVERSING,clear,85,34594337897.35,4,pNodeReporter
34594337897.973465,henry,45.36,-37.37,1.23,79.19,kayak,MODE@ACTIVE:TRAVERSING,clear,86,34594337897.97,4,pNodeReporter
34594337898.57612,henry,46.25,-37.19,1.25,77.09,kayak,MODE@ACTIVE:TRAVERSING,clear,87,34594337898.57,4,pNodeReporter
34594337899.156944,henry,46.55,-37.12,1.26,76.46,kayak,MODE@ACTIVE:TRAVERSING,clear,88,34594337899.16,4,pNodeReporter
34594337899.42968,henry,47.17,-36.96,1.27,75.36,kayak,MODE@ACTIVE:TRAVERSING,clear,89,34594337899.43,4,pNodeReporter
34594337899.711464,henry,47.76,-36.8,1.27,74.41,kayak,MODE@ACTIVE:TRAVERSING,clear,90,34594337899.71,4,pNodeReporter
34594337899.97542,henry,47.76,-36.8,1.27,74.41,kayak,MODE@ACTIVE:TRAVERSING,clear,91,34594337899.97,4,pNodeReporter
34594337901.815216,henry,50.2,-36.06,1.3,72.11,kayak,MODE@ACTIVE:TRAVERSING,clear,92,34594337901.81,4,pNodeReporter
34594337903.00004,henry,51.39,-35.67,1.3,71.66,kayak,MODE@ACTIVE:TRAVERSING,clear,93,34594337903,4,pNodeReporter
34594337903.29879,henry,52,-35.47,1.29,71.53,kayak,MODE@ACTIVE:TRAVERSING,clear,94,34594337903.3,4,pNodeReporter
34594337904.76028,henry,53.49,-34.97,1.27,71.64,kayak,MODE@ACTIVE:TRAVERSING,clear,95,34594337904.76,4,pNodeReporter
34594337905.04868,henry,54.09,-34.77,1.26,71.79,kayak,MODE@ACTIVE:TRAVERSING,clear,96,34594337905.05,4,pNodeReporter
34594337908.29675,henry,58.1,-33.54,1.24,73.83,kayak,MODE@ACTIVE:TRAVERSING,clear,97,34594337908.3,4,pNodeReporter
34594337908.62658,henry,58.1,-33.54,1.24,73.83,kayak,MODE@ACTIVE:TRAVERSING,clear,98,34594337908.63,4,pNodeReporter
34594337908.923805,henry,58.76,-33.35,1.24,74,kayak,MODE@ACTIVE:TRAVERSING,clear,99,34594337908.92,4,pNodeReporter
34594337910.63303,henry,59.89,-33.03,1.23,74.26,kayak,MODE@ACTIVE:TRAVERSING,clear,100,34594337910.63,4,pNodeReporter
