time,data,src
34594337836.52954,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=67,uFldShoreBroker
34594337837.55188,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=68,uFldShoreBroker
34594337838.653755,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=69,uFldShoreBroker
34594337839.72966,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=70,uFldShoreBroker
34594337839.72966,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=70,uFldShoreBroker
34594337846.1609,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=76,uFldShoreBroker
34594337847.2409,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=77,uFldShoreBroker
34594337848.30616,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=78,uFldShoreBroker
34594337849.39586,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=79,uFldShoreBroker
34594337850.40428,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=80,uFldShoreBroker
34594337851.49686,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=81,uFldShoreBroker
34594337852.58498,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=82,uFldShoreBroker
34594337853.685196,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=83,uFldShoreBroker
34594337854.78776,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=84,uFldShoreBroker
34594337855.86624,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=85,uFldShoreBroker
34594337862.3552,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=91,uFldShoreBroker
34594337863.433,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=92,uFldShoreBroker
34594337864.52136,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=93,uFldShoreBroker
34594337865.58547,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=94,uFldShoreBroker
34594337866.6856,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=95,uFldShoreBroker
34594337867.691376,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=96,uFldShoreBroker
34594337868.724815,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=97,uFldShoreBroker
34594337869.81258,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=98,uFldShoreBroker
34594337870.91508,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=99,uFldShoreBroker
34594337871.94164,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=100,uFldShoreBroker
34594337878.35904,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=106,uFldShoreBroker
34594337879.42784,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=107,uFldShoreBroker
34594337880.516716,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=108,uFldShoreBroker
34594337881.61738,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=109,uFldShoreBroker
34594337882.66722,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=110,uFldShoreBroker
34594337883.75688,community=shoreside|hostip=localhost|port_db=9000|port_udp=9200|pshare_iroutes=localhost:9200|timewarp=20|status=ok|key=0|id=111,uFldShoreBroker
